HomeTeam,Score,AwayTeam,Date,Time,Year,Home Pens,Away Pens
Qatar ,0–2, Ecuador,20 November 2022,19:00,2018,,
Senegal ,0–2, Netherlands,21 November 2022,19:00,2018,,
Qatar ,1–3, Senegal,25 November 2022,16:00,2018,,
Netherlands ,1–1, Ecuador,25 November 2022,19:00,2018,,
Ecuador ,1–2, Senegal,29 November 2022,18:00,2018,,
Netherlands ,2–0, Qatar,29 November 2022,18:00,2018,,
England ,6–2, Iran,21 November 2022,16:00,2018,,
United States ,1–1, Wales,21 November 2022,22:00,2018,,
Wales ,0–2, Iran,25 November 2022,13:00,2018,,
England ,0–0, United States,25 November 2022,22:00,2018,,
Wales ,0–3, England,29 November 2022,22:00,2018,,
Iran ,0–1, United States,29 November 2022,22:00,2018,,
Argentina ,1–2, Saudi Arabia,22 November 2022,13:00,2018,,
Mexico ,0–0, Poland,22 November 2022,19:00,2018,,
Poland ,2–0, Saudi Arabia,26 November 2022,16:00,2018,,
Argentina ,2–0, Mexico,26 November 2022,22:00,2018,,
Poland ,0–2, Argentina,30 November 2022,22:00,2018,,
Saudi Arabia ,1–2, Mexico,30 November 2022,22:00,2018,,
Denmark ,0–0, Tunisia,22 November 2022,16:00,2018,,
France ,4–1, Australia,22 November 2022,22:00,2018,,
Tunisia ,0–1, Australia,26 November 2022,13:00,2018,,
France ,2–1, Denmark,26 November 2022,19:00,2018,,
Australia ,1–0, Denmark,30 November 2022,18:00,2018,,
Tunisia ,1–0, France,30 November 2022,18:00,2018,,
Germany ,1–2, Japan,23 November 2022,16:00,2018,,
Spain ,7–0, Costa Rica,23 November 2022,19:00,2018,,
Japan ,0–1, Costa Rica,27 November 2022,13:00,2018,,
Spain ,1–1, Germany,27 November 2022,22:00,2018,,
Japan ,2–1, Spain,1 December 2022,22:00,2018,,
Costa Rica ,2–4, Germany,1 December 2022,22:00,2018,,
Morocco ,0–0, Croatia,23 November 2022,13:00,2018,,
Belgium ,1–0, Canada,23 November 2022,22:00,2018,,
Belgium ,0–2, Morocco,27 November 2022,16:00,2018,,
Croatia ,4–1, Canada,27 November 2022,19:00,2018,,
Croatia ,0–0, Belgium,1 December 2022,18:00,2018,,
Canada ,1–2, Morocco,1 December 2022,18:00,2018,,
Switzerland ,1–0, Cameroon,24 November 2022,13:00,2018,,
Brazil ,2–0, Serbia,24 November 2022,22:00,2018,,
Cameroon ,3–3, Serbia,28 November 2022,13:00,2018,,
Brazil ,1–0,  Switzerland,28 November 2022,19:00,2018,,
Serbia ,2–3,  Switzerland,2 December 2022,22:00,2018,,
Cameroon ,1–0, Brazil,2 December 2022,22:00,2018,,
Uruguay ,0–0, South Korea,24 November 2022,16:00,2018,,
Portugal ,3–2, Ghana,24 November 2022,19:00,2018,,
South Korea ,2–3, Ghana,28 November 2022,16:00,2018,,
Portugal ,2–0, Uruguay,28 November 2022,22:00,2018,,
Ghana ,0–2, Uruguay,2 December 2022,18:00,2018,,
South Korea ,2–1, Portugal,2 December 2022,18:00,2018,,
Netherlands ,3–1, United States,3 December 2022,18:00,2018,,
Argentina ,2–1, Australia,3 December 2022,22:00,2018,,
France ,3–1, Poland,4 December 2022,18:00,2018,,
England ,3–0, Senegal,4 December 2022,22:00,2018,,
Japan ,1–1 (a.e.t.), Croatia,5 December 2022,18:00,2018,1,3
Brazil ,4–1, South Korea,5 December 2022,22:00,2018,,
Morocco ,0–0 (a.e.t.), Spain,6 December 2022,18:00,2018,3,0
Portugal ,6–1,  Switzerland,6 December 2022,22:00,2018,,
Croatia ,1–1 (a.e.t.), Brazil,9 December 2022,18:00,2018,4,2
Netherlands ,2–2 (a.e.t.), Argentina,9 December 2022,22:00,2018,3,4
Morocco ,1–0, Portugal,10 December 2022,18:00,2018,,
England ,1–2, France,10 December 2022,22:00,2018,,
Argentina ,3–0, Croatia,13 December 2022,22:00,2018,,
France ,2–0, Morocco,14 December 2022,22:00,2018,,
Croatia ,2–1, Morocco,17 December 2022,18:00,2018,,
Argentina ,3–3 (a.e.t.), France,18 December 2022,18:00,2018,4,2
